Agent WT0 issued withdrawal of $93.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 2

Agent WT5 issued withdrawal of $96.00 on Account 1 at: 09/23/2024 00:28:30 EST Transaction Number: 17

Agent DT4 issued deposit of $470.00 on Account 1 at: 09/23/2024 00:28:30 EST Transaction Number: 28

Agent WT3 issued withdrawal of $95.00 on Account 1 at: 09/23/2024 00:28:30 EST Transaction Number: 41

Agent WT6 issued withdrawal of $94.00 on Account 1 at: 09/23/2024 00:28:30 EST Transaction Number: 49

Agent DT3 issued deposit of $527.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 57

Agent WT4 issued withdrawal of $99.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 63

Agent DT0 issued deposit of $471.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 82

Agent WT3 issued withdrawal of $93.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 84

Agent WT0 issued withdrawal of $93.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 118

Agent WT5 issued withdrawal of $92.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 124

Agent WT3 issued withdrawal of $92.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 138

Agent WT3 issued withdrawal of $95.00 on Account 1 at: 09/23/2024 00:28:30 EST Transaction Number: 164

Agent DT1 issued deposit of $502.00 on Account 1 at: 09/23/2024 00:28:30 EST Transaction Number: 165

Agent DT0 issued deposit of $534.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 174

Agent WT8 issued withdrawal of $92.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 188

Agent WT5 issued withdrawal of $93.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 217

Agent WT1 issued withdrawal of $92.00 on Account 0 at: 09/23/2024 00:28:30 EST Transaction Number: 227

Agent DT2 issued deposit of $549.00 on Account 0 at: 09/23/2024 00:28:31 EST Transaction Number: 246

Agent WT6 issued withdrawal of $94.00 on Account 0 at: 09/23/2024 00:28:31 EST Transaction Number: 248

Agent DT1 issued deposit of $592.00 on Account 1 at: 09/23/2024 00:28:31 EST Transaction Number: 259

Agent WT7 issued withdrawal of $95.00 on Account 0 at: 09/23/2024 00:28:31 EST Transaction Number: 271

Agent WT2 issued withdrawal of $95.00 on Account 0 at: 09/23/2024 00:28:31 EST Transaction Number: 272

Agent DT2 issued deposit of $511.00 on Account 1 at: 09/23/2024 00:28:31 EST Transaction Number: 275

Agent DT1 issued deposit of $508.00 on Account 1 at: 09/23/2024 00:28:31 EST Transaction Number: 276

Agent DT2 issued deposit of $513.00 on Account 0 at: 09/23/2024 00:28:31 EST Transaction Number: 289

Agent DT2 issued deposit of $571.00 on Account 1 at: 09/23/2024 00:28:31 EST Transaction Number: 296

Agent DT4 issued deposit of $484.00 on Account 0 at: 09/23/2024 00:28:31 EST Transaction Number: 297

Agent WT6 issued withdrawal of $95.00 on Account 0 at: 09/23/2024 00:28:31 EST Transaction Number: 300

Agent WT8 issued withdrawal of $94.00 on Account 1 at: 09/23/2024 00:28:31 EST Transaction Number: 320

